Driver,Age,Year,Series,Team,AVG Finish,TAAF Delta,AF YoY Change,TAAF Delta YoY Change,Advanced to Indy NXT,Advanced to IndyCar,Series-Adj AVG Finish,Series-Adj TAAF Delta,Prospect Score,Age Adjustment,Age-Adjusted Score,xPACE_Oval,xPACE_Road,xPACE_Long_Road,xPACE_Short_Road,xPACE_Street,Indy_xPACE
Kyle Connery,23,2015,USF Pro 2000,JDC Motorsports,12.71,-0.5309,,,,,12.71,-0.53,51.5,0.0,51.5,,69.7,,69.7,75.1,
Sabré Cook,23,2018,USF2000,Team BENIK,19.44,1.9534,,,,,19.31,3.08,18.0,-1.5,16.5,,59.3,63.0,57.3,48.9,36.0
Brenden Cooley,15,2025,USF Juniors,Exclusive Autosport,11.13,-1.79,,,,,12.76,-0.44,40.9,0.0,40.9,,85.4,85.7,85.1,,
Evan Cooley,18,2025,USF2000,Exclusive Autosport,9.22,0.88,-2.78,-0.64,,,9.09,2.01,33.2,0.0,33.2,53.4,92.6,94.0,93.1,91.7,78.9
Evan Cooley,17,2024,USF Juniors,Exclusive Autosport,12.0,1.52,,,,,13.63,2.87,33.2,0.0,33.2,53.4,92.6,94.0,93.1,91.7,78.9
Sam Corry,15,2023,USF2000,Velocity Racing Development,10.11,-0.83,6.86,-0.03,,,9.98,0.3,68.4,11.2,79.6,68.0,91.3,91.2,91.3,92.8,83.5
Sam Corry,14,2022,USF Juniors,Velocity Racing Development,3.25,-0.8,,,,,4.88,0.55,68.4,5.0,73.4,68.0,91.3,91.2,91.3,92.8,83.5
Sam Corry,16,2024,USF2000,Pabst Racing,4.78,-0.77,-5.33,0.06,,,4.65,0.36,68.4,5.0,73.4,68.0,91.3,91.2,91.3,92.8,83.5
Michael Costello,17,2024,USF2000,Jay Howard Driver Development,10.44,-0.34,,,,,10.31,0.79,38.4,1.2,39.6,23.1,92.5,93.2,91.8,75.0,62.9
Michael Costello,18,2025,USF Pro 2000,Pabst Racing,10.22,6.58,-0.22,6.92,,,10.22,6.58,38.4,0.0,38.4,23.1,92.5,93.2,91.8,75.0,62.9
Kaylee Countryman,15,2025,USF Juniors,Exclusive Autosport,15.5,2.62,,,,,17.13,3.97,18.0,0.0,18.0,,73.8,74.1,73.6,27.0,34.0
Elliot Cox,16,2024,USF2000,Sarah Fisher Hartman Racing,8.17,0.0,-5.66,0.0,,,8.04,1.13,40.3,5.0,45.3,63.1,86.5,85.5,87.5,83.9,77.4
Elliot Cox,14,2022,USF Juniors,Sarah Fisher Hartman Racing,10.46,0.0,,,,,12.09,1.35,40.3,5.0,45.3,63.1,86.5,85.5,87.5,83.9,77.4
Elliot Cox,15,2023,USF2000,Sarah Fisher Hartman Racing,13.83,0.0,3.37,0.0,,,13.7,1.13,40.3,11.2,51.5,63.1,86.5,85.5,87.5,83.9,77.4
Jak Crawford,13,2019,USF2000,Cape Motorsports,8.23,1.3912,,,,,8.1,2.52,31.7,0.0,31.7,,,,,,
Carlos Cunha,17,2017,USF Pro 2000,Team Pelfrey,4.5,-1.5726,,,,,4.5,-1.57,81.7,1.5,83.2,68.5,92.4,92.5,92.3,83.8,81.5
Carlos Cunha,18,2018,USF Pro 2000,Juncos Racing,5.23,0.0067,0.73,1.5793,,,5.23,0.01,81.7,0.0,81.7,68.5,92.4,92.5,92.3,83.8,81.5
Michael d'Orlando,15,2018,USF2000,Team BENIK,15.89,-1.5966,,,Yes,,15.76,-0.47,57.3,11.2,68.5,100.0,96.9,99.2,95.4,91.8,96.9
Michael d'Orlando,17,2020,USF2000,Cape Motorsports,6.76,-1.3166,,,Yes,,6.63,-0.19,57.3,1.2,58.5,100.0,96.9,99.2,95.4,91.8,96.9
Michael d'Orlando,18,2021,USF2000,Cape Motorsports,6.0,-2.603,-0.76,-1.2864,Yes,,5.87,-1.47,57.3,0.0,57.3,100.0,96.9,99.2,95.4,91.8,96.9
Michael d'Orlando,19,2022,USF2000,Cape Motorsports,5.06,-1.78,-0.94,0.823,Yes,,4.93,-0.65,57.3,0.0,57.3,100.0,96.9,99.2,95.4,91.8,96.9
Michael d'Orlando,20,2023,USF Pro 2000,Turn 3 Motorsport,8.67,-1.29,3.61,0.49,Yes,,8.67,-1.29,57.3,0.0,57.3,100.0,96.9,99.2,95.4,91.8,96.9
Nicolas Dapero,18,2016,USF Pro 2000,Juncos Racing,5.88,0.7056,,,,,5.88,0.71,66.1,0.0,66.1,52.4,82.6,81.0,80.7,68.3,67.1
Cameron Das,15,2016,USF2000,JAY Motorsports,14.58,5.1212,,,,,14.45,6.25,18.0,11.2,29.2,,80.1,80.8,78.5,75.0,50.3
James Dayson,36,2015,USF2000,ArmsUp Motorsports,13.75,3.7355,,,,,13.62,4.87,18.0,-25.0,0.0,4.6,48.4,43.7,48.4,36.1,28.2
Tanner DeFabis,18,2024,USF2000,Jay Howard Driver Development,13.9,3.99,,,,,13.77,5.12,18.0,0.0,18.0,70.4,65.3,63.4,67.3,73.7,69.4
Devlin DeFrancesco,20,2020,USF Pro 2000,Andretti Steinbrenner Autosport,5.65,0.0,,,Yes,Yes,5.65,0.0,72.1,0.0,72.1,85.0,89.0,90.0,86.2,76.6,83.8
Oscar DeLuzuriaga,19,2018,USF2000,Newman Wachs Racing,16.86,2.2724,,,,,16.73,3.4,18.0,0.0,18.0,4.1,57.7,58.2,56.1,49.9,36.4
Phillippe Denes,19,2019,USF Pro 2000,FatBoy Racing,8.23,-1.2183,,,,,8.23,-1.22,65.9,0.0,65.9,5.9,73.3,86.0,67.9,66.3,49.8
Jace Denmark,16,2021,USF2000,Pabst Racing,10.22,2.601,,,,,10.09,3.73,66.6,5.0,71.6,78.4,94.5,95.3,94.0,93.8,88.7
Jace Denmark,20,2025,USF Pro 2000,TJ Speed,8.67,-1.67,3.11,-0.44,,,8.67,-1.67,66.6,0.0,66.6,78.4,94.5,95.3,94.0,93.8,88.7
Jace Denmark,19,2024,USF Pro 2000,Pabst Racing,5.56,-1.23,-2.88,-1.28,,,5.56,-1.23,66.6,0.0,66.6,78.4,94.5,95.3,94.0,93.8,88.7
Jace Denmark,18,2023,USF Pro 2000,Pabst Racing,8.44,0.05,1.55,-1.2,,,8.44,0.05,66.6,0.0,66.6,78.4,94.5,95.3,94.0,93.8,88.7
Jace Denmark,17,2022,USF2000,Pabst Racing,6.89,1.25,-3.33,-1.351,,,6.76,2.38,66.6,1.2,67.8,78.4,94.5,95.3,94.0,93.8,88.7
Dakota Dickerson,19,2016,USF2000,,10.56,,,,,,10.43,,52.5,0.0,52.5,0.0,77.6,78.5,76.8,87.0,53.1
Dakota Dickerson,21,2018,USF2000,ArmsUp Motorsports,8.44,-2.651,,,,,8.31,-1.52,52.5,0.0,52.5,0.0,77.6,78.5,76.8,87.0,53.1
Keith Donegan,20,2018,USF2000,BN Racing,11.25,-2.5135,,,,,11.12,-1.38,47.2,0.0,47.2,48.9,78.7,86.4,68.5,88.1,71.6
Ricky Donison,18,2017,USF2000,Cape Motorsports,14.0,8.4,,,,,13.87,9.53,18.0,0.0,18.0,,,,,,
Jacob Douglas,19,2025,USF Pro 2000,Pabst Racing,6.06,-0.16,,,,,6.06,-0.16,60.6,0.0,60.6,23.6,91.6,89.6,93.5,85.4,65.5
Jacob Douglas,16,2022,USF2000,Exclusive Autosport,11.89,0.8,,,,,11.76,1.93,60.6,5.0,65.6,23.6,91.6,89.6,93.5,85.4,65.5
Jacob Douglas,17,2023,USF2000,Pabst Racing,7.4,0.82,-4.49,0.02,,,7.27,1.95,60.6,1.2,61.8,23.6,91.6,89.6,93.5,85.4,65.5
Kyle Dupell,18,2018,USF2000,Team Pelfrey,14.29,1.0791,,,,,14.16,2.21,10.9,0.0,10.9,52.5,80.0,89.1,75.3,66.4,67.9
Kyle Dupell,20,2020,USF2000,Cape Motorsports,13.0,7.131,,,,,12.87,8.26,10.9,0.0,10.9,52.5,80.0,89.1,75.3,66.4,67.9
Tyke Durst,21,2025,USF Pro 2000,Turn 3 Motorsport,12.89,2.58,-2.39,-2.96,,,12.89,2.58,20.4,0.0,20.4,1.2,69.5,69.3,69.8,69.4,45.4
Tyke Durst,20,2024,USF Pro 2000,Turn 3 Motorsport,15.28,5.54,,,,,15.28,5.54,20.4,0.0,20.4,1.2,69.5,69.3,69.8,69.4,45.4
Danny Dyszelski,15,2024,USF Pro 2000,Turn 3 Motorsport,9.67,-1.33,-0.95,-0.94,,,9.67,-1.33,48.8,13.5,62.3,59.7,84.7,86.8,77.0,93.6,78.1
