Driver,Age,Year,Series,Team,AVG Finish,TAAF Delta,AF YoY Change,TAAF Delta YoY Change,Advanced to Indy NXT,Advanced to IndyCar,Series-Adj AVG Finish,Series-Adj TAAF Delta,Prospect Score,Age Adjustment,Age-Adjusted Score,xPACE_Oval,xPACE_Road,xPACE_Long_Road,xPACE_Short_Road,xPACE_Street,Indy_xPACE
Calvin Ming,20,2017,USF2000,Pabst Racing,8.07,1.296,,,,,7.94,2.43,44.1,0.0,44.1,33.0,88.0,95.4,85.5,72.0,65.3
Calvin Ming,21,2018,USF2000,Pabst Racing,7.64,-1.1545,-0.43,-2.4505,,,7.51,-0.02,44.1,0.0,44.1,33.0,88.0,95.4,85.5,72.0,65.3
Jordan Missig,23,2022,USF Pro 2000,Pabst Racing,9.94,0.8,,,Yes,,9.94,0.8,31.5,0.0,31.5,46.5,86.3,91.1,82.0,84.9,72.5
Jordan Missig,24,2023,USF Pro 2000,Pabst Racing,12.0,5.16,2.06,4.36,Yes,,12.0,5.16,31.5,0.0,31.5,46.5,86.3,91.1,82.0,84.9,72.5
Nicholas Monteiro,19,2025,USF Pro 2000,Turn 3 Motorsport,9.0,-1.46,-3.28,-2.89,Yes,,9.0,-1.46,45.5,0.0,45.5,20.7,76.5,78.2,75.7,77.7,57.5
Nicholas Monteiro,17,2023,USF Pro 2000,NeoTech,14.67,0.0,,,Yes,,14.67,0.0,45.5,1.5,47.0,20.7,76.5,78.2,75.7,77.7,57.5
Nicholas Monteiro,18,2024,USF Pro 2000,DEForce Racing,12.28,1.43,-2.39,1.43,Yes,,12.28,1.43,45.5,0.0,45.5,20.7,76.5,78.2,75.7,77.7,57.5
Al Morey,18,2023,USF2000,Jay Howard Driver Development,11.83,2.53,,,,,11.7,3.66,18.0,0.0,18.0,25.8,70.7,69.8,79.8,83.5,59.5
Frankie Mossman,18,2024,USF Pro 2000,Jay Howard Driver Development,9.78,-0.26,,,,,9.78,-0.26,49.0,0.0,49.0,25.9,85.5,83.6,87.5,80.2,62.7
Frankie Mossman,19,2025,USF Pro 2000,Velocity Racing Development,8.92,0.54,-0.86,0.8,,,8.92,0.54,49.0,0.0,49.0,25.9,85.5,83.6,87.5,80.2,62.7
Teddy Musella,15,2025,USF2000,Velocity Racing Development,4.44,-2.2,,,,,4.31,-1.07,76.7,11.2,86.9,59.0,97.8,97.2,98.1,92.1,82.3
Michael Myers,19,2021,USF2000,Michael Myers Racing,19.07,0.0,,,,,18.94,1.13,30.5,0.0,30.5,12.7,68.4,44.8,70.6,67.4,43.1
Ely Navarro,16,2021,USF2000,DEForce Racing,15.39,6.6735,,,,,15.26,7.8,18.0,5.0,23.0,19.3,80.9,81.4,80.7,66.5,55.0
Thomas Nepveu,16,2021,USF2000,Cape Motorsports,9.67,-0.8463,,,,,9.54,0.28,47.3,5.0,52.3,77.8,91.7,89.0,92.7,92.6,86.5
Thomas Nepveu,17,2022,USF2000,DEForce Racing,7.83,-1.78,-1.84,-0.9337,,,7.7,-0.65,47.3,1.2,48.5,77.8,91.7,89.0,92.7,92.6,86.5
Parker Nicklin,18,2015,USF Pro 2000,JDC Motorsports,13.7,0.4503,,,,,13.7,0.45,45.0,0.0,45.0,,62.1,45.5,66.8,52.5,34.0
Thomas Nordquist,21,2025,USF Juniors,DEForce Racing,16.13,8.24,,,,,17.76,9.59,18.0,-1.5,16.5,,76.6,70.8,82.3,,
Patricio O'Ward,15,2015,USF Pro 2000,Team Pelfrey,6.69,-0.3922,,,Yes,Yes,6.69,-0.39,80.9,13.5,91.3,100.0,91.3,89.0,91.9,98.1,95.9
Patricio O'Ward,16,2016,USF Pro 2000,Team Pelfrey,3.44,-0.7748,-3.25,-0.3826,Yes,Yes,3.44,-0.77,80.9,6.0,86.3,100.0,91.3,89.0,91.9,98.1,95.9
David Osborne,21,2018,USF2000,Newman Wachs Racing,16.9,2.3233,,,,,16.77,3.45,18.0,0.0,18.0,10.3,72.3,73.3,71.7,54.6,45.4
Tazio Ottis,20,2016,USF2000,JDC Motorsports,14.8,-1.2372,,,,,14.67,-0.11,38.7,0.0,38.7,,57.1,46.7,57.1,44.8,30.9
Will Owen,19,2015,USF Pro 2000,Juncos Racing,7.19,0.211,,,,,7.19,0.21,75.3,0.0,75.3,79.8,87.0,85.9,87.3,89.5,85.0
Will Owen,20,2016,USF Pro 2000,Juncos Racing,4.38,-0.7258,-2.81,-0.9368,,,4.38,-0.73,75.3,0.0,75.3,79.8,87.0,85.9,87.3,89.5,85.0
Raoul Owens,20,2015,USF Pro 2000,Team Pelfrey,10.94,5.901,,,,,10.94,5.9,28.0,0.0,28.0,19.5,80.7,80.6,80.0,90.7,61.9
Evagoras Papasavvas,16,2024,USF2000,Jay Howard Driver Development,6.94,-2.48,0.55,-0.28,Yes,,6.81,-1.35,53.9,5.0,58.9,90.9,90.7,88.8,92.4,94.5,91.7
Evagoras Papasavvas,15,2023,USF2000,Jay Howard Driver Development,6.39,-2.2,-7.81,-2.45,Yes,,6.26,-1.07,53.9,11.2,65.1,90.9,90.7,88.8,92.4,94.5,91.7
Evagoras Papasavvas,14,2022,USF2000,Jay Howard Driver Development,14.2,0.25,,,Yes,,14.07,1.38,53.9,20.0,73.9,90.9,90.7,88.8,92.4,94.5,91.7
Jake Parsons,21,2016,USF Pro 2000,Juncos Racing,6.31,1.274,,,,,6.31,1.27,60.0,0.0,60.0,51.1,85.1,77.8,85.1,85.7,71.6
Artem Petrov,20,2020,USF Pro 2000,Juncos Racing,5.65,-0.5424,,,,,5.65,-0.54,74.9,0.0,74.9,72.6,96.2,96.8,95.7,84.4,84.5
Artem Petrov,21,2021,USF Pro 2000,Exclusive Autosport,4.61,0.0953,-1.04,0.6377,,,4.61,0.1,74.9,0.0,74.9,72.6,96.2,96.8,95.7,84.4,84.5
Josh Pierson,14,2020,USF2000,Exclusive Autosport,15.31,5.4391,,,Yes,,15.18,6.57,42.3,20.0,62.3,82.1,92.1,89.1,90.3,87.7,86.4
Josh Pierson,15,2021,USF2000,Pabst Racing,6.72,-1.1768,-8.59,-6.6159,Yes,,6.59,-0.05,42.3,11.2,53.5,82.1,92.1,89.1,90.3,87.7,86.4
Zack Ping,15,2023,USF2000,Velocity Racing Development,16.08,7.39,,,,,15.95,8.52,18.0,11.2,29.2,,72.5,70.1,77.4,76.0,48.0
Francesco Pizzi,18,2023,USF Pro 2000,TJ Speed,7.89,-1.39,,,,,7.89,-1.39,69.0,0.0,69.0,65.4,92.7,97.8,86.5,99.5,85.5
Kiko Porto,16,2020,USF2000,DEForce Racing,7.5,-2.9059,,,Yes,,7.37,-1.78,88.9,5.0,91.0,49.2,98.0,94.9,98.4,94.4,79.0
Kiko Porto,17,2021,USF2000,DEForce Racing,3.72,-2.4309,-3.78,0.475,Yes,,3.59,-1.3,88.9,1.2,88.4,49.2,98.0,94.9,98.4,94.4,79.0
Kiko Porto,19,2023,USF Pro 2000,DEForce Racing,6.67,-1.96,-0.39,-1.94,Yes,,6.67,-1.96,88.9,0.0,87.6,49.2,98.0,94.9,98.4,94.4,79.0
Kiko Porto,18,2022,USF Pro 2000,DEForce Racing,7.06,-0.02,3.34,2.4109,Yes,,7.06,-0.02,88.9,0.0,87.6,49.2,98.0,94.9,98.4,94.4,79.0
Hudson Potter,17,2025,USF Juniors,InterMS,15.64,1.34,-2.43,-9.58,,,17.27,2.69,5.1,0.0,5.1,,71.7,70.2,71.1,,
Hudson Potter,16,2024,USF Juniors,InterMS,18.07,10.92,,,,,19.7,12.27,5.1,0.0,5.1,,71.7,70.2,71.1,,
Brendan Puderbach,36,2017,USF Pro 2000,FatBoy Racing,11.6,0.2191,,,,,11.6,0.22,46.5,-25.0,21.5,0.3,15.9,15.9,15.9,,5.7
Christian Rasmussen,18,2019,USF2000,Jay Howard Driver Development,6.93,-2.7015,,,Yes,Yes,6.8,-1.57,86.6,0.0,86.1,100.0,98.3,100.0,98.8,93.0,97.8
Christian Rasmussen,19,2020,USF2000,Jay Howard Driver Development,5.94,-2.9564,-0.99,-0.2549,Yes,Yes,5.81,-1.83,86.6,0.0,86.1,100.0,98.3,100.0,98.8,93.0,97.8
Christian Rasmussen,20,2021,USF Pro 2000,Jay Howard Driver Development,4.11,-1.6968,-1.83,1.2596,Yes,Yes,4.11,-1.7,86.6,0.0,86.1,100.0,98.3,100.0,98.8,93.0,97.8
Bruno Ribeiro,15,2024,USF Juniors,DEForce Racing,12.36,-0.76,,,,,13.99,0.59,34.1,0.0,34.1,,95.4,87.9,97.0,,
Garth Rickards,22,2015,USF2000,Team Pelfrey,9.5,0.1731,,,,,9.37,1.3,23.8,0.0,23.8,3.4,83.0,88.3,81.0,82.5,55.8
Garth Rickards,23,2016,USF2000,Pabst Racing,11.12,2.5889,1.62,2.4158,,,10.99,3.72,23.8,-1.5,22.3,3.4,83.0,88.3,81.0,82.5,55.8
Sting Ray Robb,15,2017,USF Pro 2000,World Speed Motorsports,6.5,-1.8622,,,Yes,Yes,6.5,-1.86,77.0,13.5,88.7,63.7,94.3,96.5,93.8,93.3,83.7
Sting Ray Robb,16,2018,USF Pro 2000,Team Pelfrey,7.62,-1.0591,1.12,0.8031,Yes,Yes,7.62,-1.06,77.0,6.0,83.0,63.7,94.3,96.5,93.8,93.3,83.7
Sting Ray Robb,17,2019,USF Pro 2000,Juncos Racing,4.94,1.5676,-2.68,2.6267,Yes,Yes,4.94,1.57,77.0,1.5,78.5,63.7,94.3,96.5,93.8,93.3,83.7
Sting Ray Robb,18,2020,USF Pro 2000,Juncos Racing,3.0,-1.56,-1.94,-3.1276,Yes,Yes,3.0,-1.56,77.0,0.0,77.0,63.7,94.3,96.5,93.8,93.3,83.7
James Roe,22,2021,USF Pro 2000,Turn 3 Motorsport,9.28,0.0,,,Yes,,9.28,0.0,52.0,0.0,52.0,85.0,80.0,90.0,77.3,75.1,82.4
Matthew Round-Garrido,18,2019,USF2000,BN Racing,10.73,0.4806,,,,,10.6,1.61,21.8,0.0,21.8,,,,,,
Matthew Round-Garrido,19,2020,USF2000,Pabst Racing,8.47,0.3833,-2.26,-0.0973,,,8.34,1.51,21.8,0.0,21.8,,,,,,
Matthew Round-Garrido,20,2021,USF2000,Exclusive Autosport,14.31,2.6557,5.84,2.2724,,,14.18,3.79,21.8,0.0,21.8,,,,,,
Myles Rowe,20,2021,USF2000,Force Indy,15.83,0.0,,,Yes,,15.7,1.13,84.5,0.0,84.5,75.9,95.7,95.5,95.6,99.5,89.8
Myles Rowe,22,2023,USF Pro 2000,Pabst Racing,4.72,-2.06,-0.06,-1.2,Yes,,4.72,-2.06,84.5,0.0,84.5,75.9,95.7,95.5,95.6,99.5,89.8
Myles Rowe,21,2022,USF2000,Pabst Racing,4.78,-0.86,-11.05,-0.86,Yes,,4.65,0.27,84.5,0.0,84.5,75.9,95.7,95.5,95.6,99.5,89.8
Emma Scarbrough,16,2025,USF Juniors,InterMS,15.31,0.96,,,,,16.94,2.31,22.6,0.0,22.6,,75.4,78.8,72.4,,
Liam Sceats,17,2024,USF Pro 2000,TJ Speed,8.89,0.18,,,Yes,,8.89,0.18,52.9,1.5,54.4,8.5,88.4,86.2,92.8,85.6,59.4
Erick Schotten,15,2023,USF Juniors,Exclusive Autosport,8.69,0.24,,,,,10.32,1.59,27.4,0.0,27.4,,78.6,77.4,79.0,,
Thomas Schrage,20,2025,USF2000,Velocity Racing Development,5.89,-1.95,,,,,5.76,-0.82,67.0,0.0,67.0,73.0,96.3,92.0,99.0,89.9,85.5
Hudson Schwartz,13,2023,USF Juniors,Velocity Racing Development,6.69,-0.15,,,,,8.32,1.2,44.4,0.0,44.4,62.0,92.7,92.7,90.7,77.2,77.1
Hudson Schwartz,14,2024,USF2000,Pabst Racing,9.22,5.7,2.53,5.85,,,9.09,6.83,44.4,20.0,64.4,62.0,92.7,92.7,90.7,77.2,77.1
Harrison Scott,21,2018,USF Pro 2000,RP Motorsport,7.08,-0.7605,,,,,7.08,-0.76,69.3,0.0,69.3,100.0,95.0,95.4,94.9,89.6,95.3
Gordon Scully,23,2023,USF2000,Velocity Racing Development,13.78,3.45,,,,,13.65,4.58,18.0,-1.5,16.5,,69.7,72.0,60.5,52.9,39.6
Antonio Serravalle,15,2018,USF Pro 2000,Exclusive Autosport,11.8,5.6925,,,Yes,,11.8,5.69,42.0,13.5,55.5,5.1,63.5,56.6,66.4,59.4,40.4
Antonio Serravalle,16,2019,USF Pro 2000,Pserra Racing,8.57,0.0,-3.23,-5.6925,Yes,,8.57,0.0,42.0,6.0,48.0,5.1,63.5,56.6,66.4,59.4,40.4
Titus Sherlock,17,2022,USF Juniors,Crosslink Kiwi Motorsports,10.38,-0.2,,,,,12.01,1.15,30.3,0.0,30.3,,78.0,71.9,80.2,70.0,46.9
Cameron Shields,18,2019,USF2000,Newman Wachs Racing,9.33,-2.2143,,,,,9.2,-1.08,49.3,0.0,49.3,43.3,87.2,30.2,87.2,94.1,60.3
Cameron Shields,19,2020,USF2000,DEForce Racing,8.69,-2.5224,-0.64,-0.3081,,,8.56,-1.39,49.3,0.0,49.3,43.3,87.2,30.2,87.2,94.1,60.3
Nolan Siegel,14,2019,USF2000,Newman Wachs Racing,13.87,1.8556,,,Yes,Yes,13.74,2.99,45.1,20.0,65.1,61.4,95.2,94.7,95.4,92.3,82.3
Nolan Siegel,15,2020,USF2000,Jay Howard Driver Development,12.65,0.8814,-1.22,-0.9742,Yes,Yes,12.52,2.01,45.1,11.2,56.3,61.4,95.2,94.7,95.4,92.3,82.3
Nolan Siegel,16,2021,USF2000,DEForce Racing,11.5,0.8195,-1.15,-0.0619,Yes,Yes,11.37,1.95,45.1,5.0,50.1,61.4,95.2,94.7,95.4,92.3,82.3
Nolan Siegel,17,2022,USF Pro 2000,DEForce Racing,6.28,-0.71,-5.22,-1.5295,Yes,Yes,6.28,-0.71,45.1,1.5,46.6,61.4,95.2,94.7,95.4,92.3,82.3
José Sierra,18,2018,USF2000,DEForce Racing,13.43,0.201,,,,,13.3,1.33,29.1,0.0,29.1,38.4,89.4,88.8,89.6,87.5,70.7
Simon Sikes,20,2021,USF2000,Legacy Autosport,9.6,-3.4751,,,,,9.47,-2.34,87.3,0.0,86.5,56.1,93.9,98.9,87.8,92.2,80.5
Simon Sikes,22,2023,USF2000,Pabst Racing,3.83,-1.63,,,,,3.7,-0.5,87.3,0.0,86.5,56.1,93.9,98.9,87.8,92.2,80.5
Simon Sikes,23,2024,USF Pro 2000,Pabst Racing,8.67,1.87,4.84,3.5,,,8.67,1.87,87.3,0.0,86.5,56.1,93.9,98.9,87.8,92.2,80.5
Kyffin Simpson,16,2021,USF Pro 2000,Juncos Racing,8.31,0.589,,,Yes,Yes,8.31,0.59,53.4,6.0,59.4,16.8,87.9,88.4,87.7,90.7,63.7
Keyvan Andres Soori,14,2015,USF2000,ArmsUp Motorsports,9.94,-0.8021,,,,,9.81,0.33,36.8,20.0,56.8,6.0,69.3,74.8,63.2,64.4,46.1
Augusto Soto-Schirripa,23,2024,USF Juniors,InterMS,8.75,-1.95,,,,,10.38,-0.6,42.0,-13.5,28.5,,93.4,89.8,97.1,,
Louka St-Jean,17,2023,USF Pro 2000,Turn 3 Motorsport,11.82,1.9,,,,,11.82,1.9,35.3,1.5,36.8,,88.2,89.6,84.9,61.0,49.0
Evan Stamer,19,2021,USF2000,Cape Motorsports,18.28,13.2518,,,,,18.15,14.38,18.0,0.0,18.0,19.2,72.2,76.3,70.9,66.4,52.6
Michai Stephens,24,2016,USF2000,RJB Motorsports,14.33,-1.1835,,,,,14.2,-0.05,38.3,-6.0,32.3,,57.3,55.8,58.8,51.6,35.2
Michael Suco,19,2025,USF Juniors,InterMS,12.44,-1.7,-4.5,-11.85,,,14.07,-0.35,25.3,0.0,25.3,,76.3,75.7,76.7,,
Michael Suco,18,2024,USF Juniors,Velocity Racing Development,16.94,10.15,,,,,18.57,11.5,25.3,0.0,25.3,,76.3,75.7,76.7,,
Manuel Sulaiman,20,2021,USF Pro 2000,Juncos Racing,6.67,-0.9369,,,Yes,,6.67,-0.94,72.7,0.0,72.7,,,,,,
Manuel Sulaimán,18,2019,USF2000,DEForce Racing,8.2,-1.3142,,,Yes,,8.07,-0.18,74.7,0.0,74.7,71.5,95.6,100.0,93.9,89.6,86.2
Manuel Sulaimán,19,2020,USF Pro 2000,DEForce Racing,6.75,-1.4643,-1.45,-0.1501,Yes,,6.75,-1.46,74.7,0.0,74.7,71.5,95.6,100.0,93.9,89.6,86.2
Yuven Sundaramoorthy,16,2019,USF2000,Pabst Racing,11.33,5.7517,,,Yes,,11.2,6.88,42.1,5.0,47.1,47.0,90.6,85.1,91.9,85.7,72.6
Yuven Sundaramoorthy,17,2020,USF2000,Pabst Racing,11.19,4.2624,-0.14,-1.4893,Yes,,11.06,5.39,42.1,1.2,43.3,47.0,90.6,85.1,91.9,85.7,72.6
Yuven Sundaramoorthy,18,2021,USF2000,Pabst Racing,7.5,-0.5953,-3.69,-4.8577,Yes,,7.37,0.54,42.1,0.0,42.1,47.0,90.6,85.1,91.9,85.7,72.6
Yuven Sundaramoorthy,19,2022,USF Pro 2000,Pabst Racing,8.83,-0.35,1.33,0.2453,Yes,,8.83,-0.35,42.1,0.0,42.1,47.0,90.6,85.1,91.9,85.7,72.6
Yuven Sundaramoorthy,20,2023,USF Pro 2000,Exclusive Autosport,12.15,1.47,3.32,1.82,Yes,,12.15,1.47,42.1,0.0,42.1,47.0,90.6,85.1,91.9,85.7,72.6
Weiron Tan,20,2015,USF Pro 2000,Andretti Autosport,7.38,-0.7823,,,,,7.38,-0.78,67.7,0.0,67.7,100.0,97.1,100.0,95.7,96.2,98.4
Max Taylor,16,2024,USF Juniors,Velocity Racing Development,3.6,-2.38,,,Yes,,5.23,-1.03,78.8,0.0,78.8,55.2,93.5,95.3,91.9,87.3,78.4
Max Taylor,16,2024,USF2000,Velocity Racing Development,6.22,-2.22,-7.23,-5.19,Yes,,6.09,-1.09,78.8,5.0,83.8,55.2,93.5,95.3,91.9,87.3,78.4
Max Taylor,17,2025,USF Pro 2000,Velocity Racing Development,7.41,-0.88,1.19,1.34,Yes,,7.41,-0.88,78.8,1.5,80.3,55.2,93.5,95.3,91.9,87.3,78.4
Max Taylor,15,2023,USF Juniors,Velocity Racing Development,8.0,1.34,,,Yes,,9.63,2.69,78.8,0.0,78.8,55.2,93.5,95.3,91.9,87.3,78.4
Max Taylor,15,2023,USF2000,Velocity Racing Development,13.45,2.97,,,Yes,,13.32,4.1,78.8,11.2,88.3,55.2,93.5,95.3,91.9,87.3,78.4
Aaron Telitz,23,2015,USF2000,Cape Motorsports,3.75,0.9375,,,Yes,,3.62,2.07,94.8,-1.5,90.6,54.6,99.4,100.0,98.0,98.4,83.3
Aaron Telitz,24,2016,USF Pro 2000,Team Pelfrey,2.38,-1.1042,-1.37,-2.0417,Yes,,2.38,-1.1,94.8,0.0,91.6,54.6,99.4,100.0,98.0,98.4,83.3
Parker Thompson,16,2015,USF2000,JDC Motorsports,7.75,-1.3717,,,,,7.62,-0.24,74.2,5.0,79.2,81.8,92.7,93.0,92.9,94.5,89.4
Parker Thompson,17,2016,USF2000,Cape Motorsports,4.0,-1.829,-3.75,-0.4573,,,3.87,-0.7,74.2,1.2,75.4,81.8,92.7,93.0,92.9,94.5,89.4
Parker Thompson,18,2017,USF2000,Exclusive Autosport,5.86,-2.7074,1.86,-0.8784,,,5.73,-1.58,74.2,0.0,74.2,81.8,92.7,93.0,92.9,94.5,89.4
Parker Thompson,19,2018,USF Pro 2000,Exclusive Autosport,4.12,-1.9875,-1.74,0.7199,,,4.12,-1.99,74.2,0.0,74.2,81.8,92.7,93.0,92.9,94.5,89.4
Parker Thompson,20,2019,USF Pro 2000,Abel Motorsports,4.19,-1.3096,0.07,0.6779,,,4.19,-1.31,74.2,0.0,74.2,81.8,92.7,93.0,92.9,94.5,89.4
Parker Thompson,21,2020,USF Pro 2000,DEForce Racing,7.0,-1.3155,2.81,-0.0059,,,7.0,-1.32,74.2,0.0,74.2,81.8,92.7,93.0,92.9,94.5,89.4
Bruna Tomaselli,19,2017,USF2000,ArmsUp Motorsports,15.78,2.2608,,,,,15.65,3.39,2.6,0.0,2.6,9.0,73.2,76.5,72.0,82.9,54.0
Bruna Tomaselli,20,2018,USF2000,Team Pelfrey,15.21,2.2017,-0.57,-0.0591,,,15.08,3.33,2.6,0.0,2.6,9.0,73.2,76.5,72.0,82.9,54.0
Bruna Tomaselli,21,2019,USF2000,Pabst Racing,9.53,2.5553,-5.68,0.3536,,,9.4,3.69,2.6,0.0,2.6,9.0,73.2,76.5,72.0,82.9,54.0
Avery Towns,19,2023,USF2000,Exclusive Autosport,14.73,3.09,,,,,14.6,4.22,18.0,0.0,18.0,21.9,70.8,69.1,72.5,55.0,48.7
Earl Tucker,23,2022,USF Juniors,DC,14.0,3.82,,,,,15.63,5.17,18.0,-13.5,4.5,,72.6,66.8,77.3,,
Alessandro de Tullio,18,2025,USF Pro 2000,Turn 3 Motorsport,6.72,-2.51,,,Yes,,6.72,-2.51,82.6,0.0,82.6,100.0,86.8,80.0,91.5,100.0,94.3
Alessandro de Tullio,15,2022,USF Juniors,Velocity Racing Development,4.14,-0.16,,,Yes,,5.77,1.19,82.6,0.0,82.6,100.0,86.8,80.0,91.5,100.0,94.3
Santiago Urrutia,18,2015,USF Pro 2000,Team Pelfrey,3.69,-1.774,,,Yes,,3.69,-1.77,94.8,0.0,91.6,96.8,96.5,95.3,96.5,95.8,96.1
Reece Ushijima,20,2023,USF Pro 2000,Jay Howard Driver Development,9.45,-2.04,,,,,9.45,-2.04,64.6,0.0,64.6,,89.7,90.2,88.7,95.7,59.8
Kent Vaccaro,19,2021,USF2000,Miller Vinatieri Motorsports,19.35,0.0,,,,,19.22,1.13,30.5,0.0,30.5,19.3,59.0,58.2,59.2,41.8,39.8
Moisés de la Vara,19,2017,USF2000,DEForce Racing,11.7,2.4635,,,,,11.57,3.59,41.3,0.0,41.3,40.5,69.9,74.6,68.9,79.7,63.4
Moisés de la Vara,21,2019,USF Pro 2000,DEForce Racing,9.5,0.5278,,,,,9.5,0.53,41.3,0.0,41.3,40.5,69.9,74.6,68.9,79.7,63.4
Moisés de la Vara,22,2020,USF Pro 2000,DEForce Racing,9.93,1.5091,0.43,0.9813,,,9.93,1.51,41.3,0.0,41.3,40.5,69.9,74.6,68.9,79.7,63.4
Rinus VeeKay,16,2017,USF2000,Pabst Racing,2.5,-1.6012,,,Yes,Yes,2.37,-0.47,98.6,5.0,96.2,90.5,98.9,97.8,99.2,100.0,96.0
Rinus VeeKay,17,2018,USF Pro 2000,Juncos Racing,3.19,-1.2418,0.69,0.3594,Yes,Yes,3.19,-1.24,98.6,1.5,95.0,90.5,98.9,97.8,99.2,100.0,96.0
João Vergara,17,2025,USF Juniors,Velocity Racing Development,6.13,-2.3,-5.37,-3.29,,,7.76,-0.95,43.1,0.0,43.1,,90.0,89.3,90.5,,
João Vergara,16,2024,USF Juniors,Velocity Racing Development,11.5,0.99,,,,,13.13,2.34,43.1,0.0,43.1,,90.0,89.3,90.5,,
Peter Vodanovich,20,2021,USF2000,Jay Howard Driver Development,18.44,-1.175,,,,,18.31,-0.04,38.3,0.0,38.3,11.4,77.4,74.7,78.3,79.0,54.1
Julian van der Watt,20,2018,USF2000,Team Pelfrey,10.36,-2.282,,,,,10.23,-1.15,45.7,0.0,45.7,40.7,82.9,88.5,78.6,77.6,67.3
Christian Weir,15,2022,USF2000,Turn 3 Motorsport,8.94,-0.74,,,,,8.81,0.39,47.6,11.2,58.8,55.5,90.0,95.2,86.9,84.0,76.9
Christian Weir,16,2023,USF Pro 2000,TJ Speed,12.0,3.05,3.06,3.79,,,12.0,3.05,47.6,6.0,53.6,55.5,90.0,95.2,86.9,84.0,76.9
Oliver Wheldon,13,2025,USF Juniors,Velocity Racing Development,8.0,-1.47,,,,,9.63,-0.12,40.8,0.0,40.8,,97.8,100.0,92.9,,
Sebastian Wheldon,15,2024,USF Juniors,Velocity Racing Development,7.06,-2.35,,,,,8.69,-1.0,51.9,0.0,51.9,,96.6,100.0,92.6,,
Devin Wojcik,16,2017,USF2000,ArmsUp Motorsports,11.43,-1.9647,,,,,11.3,-0.83,43.5,5.0,48.5,,52.9,52.9,,,
Kris Wright,23,2018,USF Pro 2000,BN Racing,10.1,3.9413,,,,,10.1,3.94,28.0,0.0,28.0,,60.8,32.8,61.9,48.0,29.1
Luo Yufeng,16,2015,USF2000,Pabst Racing,9.12,4.6734,,,,,8.99,5.8,25.3,5.0,30.3,49.8,79.5,85.2,78.1,94.7,74.7
Luo Yufeng,17,2016,USF2000,Pabst Racing,9.19,0.1732,0.07,-4.5002,,,9.06,1.3,25.3,1.2,26.5,49.8,79.5,85.2,78.1,94.7,74.7
Lirim Zendeli,23,2023,USF Pro 2000,TJ Speed,7.88,-1.39,,,,,7.88,-1.39,69.0,0.0,69.0,,89.7,92.1,85.4,76.1,54.1
Ayla Ågren,21,2015,USF2000,Team Pelfrey,9.38,0.0503,,,,,9.25,1.18,41.8,0.0,41.8,23.3,81.0,77.9,81.3,56.1,52.7
Ayla Ågren,22,2016,USF2000,John Cummiskey Racing,9.83,-2.2433,0.45,-2.2936,,,9.7,-1.11,41.8,0.0,41.8,23.3,81.0,77.9,81.3,56.1,52.7
